volumetric_strain,stress_300K_GPa,stress_400K_GPa,stress_500K_GPa
-0.075500000,-0.220675575,-0.205190848,-0.189980926
-0.075000000,-0.218461851,-0.203074454,-0.187963769
-0.074500000,-0.216263365,-0.200973472,-0.185962073
-0.074000000,-0.214080014,-0.198887793,-0.183975730
-0.073500000,-0.211911692,-0.196817313,-0.182004633
-0.073000000,-0.209758295,-0.194761923,-0.180048674
-0.072500000,-0.207619717,-0.192721517,-0.178107745
-0.072000000,-0.205495855,-0.190695987,-0.176181739
-0.071500000,-0.203386602,-0.188685227,-0.174270548
-0.071000000,-0.201291854,-0.186689130,-0.172374065
-0.070500000,-0.199211507,-0.184707588,-0.170492183
-0.070000000,-0.197145455,-0.182740496,-0.168624793
-0.069500000,-0.195093593,-0.180787745,-0.166771789
-0.069000000,-0.193055817,-0.178849230,-0.164933062
-0.068500000,-0.191032022,-0.176924843,-0.163108506
-0.068000000,-0.189022102,-0.175014477,-0.161298012
-0.067500000,-0.187025954,-0.173118025,-0.159501474
-0.067000000,-0.185043471,-0.171235381,-0.157718783
-0.066500000,-0.183074550,-0.169366436,-0.155949832
-0.066000000,-0.181119086,-0.167511086,-0.154194514
-0.065500000,-0.179176973,-0.165669222,-0.152452721
-0.065000000,-0.177248106,-0.163840737,-0.150724346
-0.064500000,-0.175332381,-0.162025525,-0.149009280
-0.064000000,-0.173429694,-0.160223479,-0.147307417
-0.063500000,-0.171539938,-0.158434491,-0.145618649
-0.063000000,-0.169663009,-0.156658455,-0.143942869
-0.062500000,-0.167798803,-0.154895265,-0.142279968
-0.062000000,-0.165947214,-0.153144812,-0.140629840
-0.061500000,-0.164108138,-0.151406990,-0.138992376
-0.061000000,-0.162281469,-0.149681692,-0.137367470
-0.060500000,-0.160467103,-0.147968811,-0.135755014
-0.060000000,-0.158664935,-0.146268241,-0.134154900
-0.059500000,-0.156874860,-0.144579874,-0.132567020
-0.059000000,-0.155096774,-0.142903603,-0.130991268
-0.058500000,-0.153330570,-0.141239321,-0.129427536
-0.058000000,-0.151576145,-0.139586922,-0.127875716
-0.057500000,-0.149833394,-0.137946299,-0.126335700
-0.057000000,-0.148102212,-0.136317344,-0.124807382
-0.056500000,-0.146382493,-0.134699951,-0.123290653
-0.056000000,-0.144674133,-0.133094012,-0.121785406
-0.055500000,-0.142977028,-0.131499421,-0.120291534
-0.055000000,-0.141291071,-0.129916071,-0.118808929
-0.054500000,-0.139616159,-0.128343855,-0.117337483
-0.054000000,-0.137952187,-0.126782666,-0.115877089
-0.053500000,-0.136299049,-0.125232397,-0.114427640
-0.053000000,-0.134656641,-0.123692941,-0.112989027
-0.052500000,-0.133024858,-0.122164192,-0.111561144
-0.052000000,-0.131403595,-0.120646041,-0.110143883
-0.051500000,-0.129792747,-0.119138383,-0.108737136
-0.051000000,-0.128192209,-0.117641110,-0.107340796
-0.050500000,-0.126601877,-0.116154115,-0.105954755
-0.050000000,-0.125021645,-0.114677292,-0.104578906
-0.049500000,-0.123451409,-0.113210534,-0.103213141
-0.049000000,-0.121891064,-0.111753733,-0.101857353
